epoch:	train_RMSD:	train_MAE:	val_RMSD:	val_MAE:	test_RMSD:	test_MAE:
223	0.9403	0.6726	1.1462	0.7344	1.0779	0.7305
224	0.9496	0.6831	1.151	0.7461	1.0848	0.7389
225	0.9497	0.682	1.1483	0.7382	1.0777	0.7406
226	0.9401	0.6725	1.1369	0.7343	1.0728	0.7284
227	0.9267	0.658	1.1297	0.7172	1.0621	0.7195
228	0.9579	0.6988	1.1519	0.761	1.0939	0.759
229	0.9408	0.6742	1.1559	0.7363	1.0732	0.7322
230	0.9811	0.7178	1.1737	0.775	1.1178	0.7724
231	0.9858	0.7225	1.191	0.7837	1.1012	0.7745
232	0.949	0.6881	1.1406	0.7495	1.088	0.7488
233	0.9563	0.6795	1.1413	0.736	1.065	0.7379
234	0.9238	0.6555	1.1359	0.7172	1.0728	0.7205
235	0.923	0.6589	1.1337	0.7235	1.0679	0.7186
236	0.9189	0.6536	1.1224	0.7174	1.0622	0.7177
237	0.9761	0.719	1.1853	0.7812	1.1033	0.7765
238	0.9608	0.7009	1.1548	0.7638	1.0997	0.7598
239	0.9765	0.706	1.1712	0.7594	1.0892	0.7602
240	0.9364	0.6747	1.1392	0.7349	1.0789	0.732
241	0.9324	0.6667	1.1392	0.7239	1.0713	0.7285
242	0.9103	0.6453	1.115	0.7092	1.0411	0.7051
243	0.9124	0.6454	1.139	0.7127	1.0641	0.7047
244	0.9094	0.6428	1.1234	0.7094	1.0635	0.7084
245	0.9122	0.6453	1.1335	0.7096	1.0499	0.7074
246	0.9054	0.644	1.1289	0.7075	1.0587	0.7085
247	0.9044	0.6427	1.1171	0.7085	1.0458	0.7069
248	0.9004	0.6369	1.1169	0.702	1.0483	0.7008
249	0.9013	0.6403	1.1153	0.7044	1.0337	0.7014
250	0.8972	0.6354	1.1208	0.7012	1.0519	0.7016
251	0.9012	0.6368	1.1188	0.6998	1.0461	0.7005
252	0.9143	0.6565	1.1329	0.7234	1.0681	0.7301
253	0.9079	0.65	1.1353	0.7154	1.071	0.7113
254	0.9312	0.6767	1.1439	0.7362	1.073	0.7445
255	0.9062	0.6473	1.1211	0.7116	1.0551	0.709
256	0.9112	0.6532	1.124	0.7158	1.0596	0.7215
257	0.8913	0.6317	1.1152	0.6996	1.0508	0.7008
258	0.8951	0.6347	1.1128	0.6989	1.0498	0.7035
