epoch:	train_RMSD:	train_MAE:	val_RMSD:	val_MAE:	test_RMSD:	test_MAE:
198	1.0798	0.7658	1.4543	0.8325	1.2362	0.8103
199	1.0764	0.7599	1.4388	0.8173	1.2264	0.8022
200	1.0724	0.7579	1.4439	0.8232	1.2285	0.808
201	1.0791	0.7662	1.4574	0.8405	1.2425	0.8235
202	1.1099	0.7907	1.4951	0.859	1.2681	0.833
203	1.0792	0.767	1.4613	0.8388	1.2506	0.8308
204	1.0655	0.7567	1.4453	0.8234	1.224	0.7988
205	1.0566	0.745	1.43	0.8068	1.2217	0.7965
206	1.0515	0.7407	1.4275	0.8077	1.2192	0.7976
207	1.0936	0.782	1.4594	0.8564	1.2565	0.8458
208	1.0549	0.7458	1.4387	0.8177	1.2295	0.8057
209	1.0798	0.7658	1.4432	0.8299	1.2352	0.8088
210	1.0472	0.7372	1.4334	0.8075	1.2141	0.7881
211	1.0497	0.7369	1.4414	0.8134	1.2189	0.7949
212	1.062	0.7594	1.4281	0.8293	1.2227	0.8114
213	1.1252	0.806	1.4767	0.8757	1.2795	0.8683
214	1.0583	0.7639	1.4332	0.8376	1.2284	0.8266
215	1.0348	0.7305	1.4106	0.8015	1.2042	0.7918
216	1.048	0.7366	1.4225	0.8095	1.213	0.799
217	1.0847	0.7794	1.4529	0.8426	1.2427	0.8204
218	1.033	0.7372	1.4111	0.8117	1.2055	0.7957
219	1.0671	0.7634	1.4295	0.8307	1.2315	0.823
220	1.0805	0.7704	1.4596	0.8392	1.2506	0.8187
221	1.0421	0.7407	1.43	0.8198	1.2235	0.8116
222	1.0395	0.7292	1.4289	0.803	1.2114	0.7908
223	1.0329	0.7249	1.412	0.7948	1.203	0.7853
224	1.0487	0.7415	1.4088	0.8082	1.2102	0.7999
225	1.026	0.7238	1.4105	0.7972	1.2003	0.7811
226	1.0341	0.7437	1.4234	0.8277	1.2168	0.8134
227	1.0422	0.7408	1.4295	0.8156	1.2141	0.7941
228	1.0488	0.7512	1.4152	0.824	1.2183	0.8131
229	1.0472	0.7427	1.4114	0.8087	1.2068	0.7967
230	1.0263	0.7246	1.4192	0.8064	1.2077	0.7964
231	1.023	0.7231	1.3933	0.7912	1.1879	0.7821
232	1.0219	0.7214	1.4007	0.7941	1.1983	0.7935
233	1.0088	0.7134	1.3965	0.7868	1.1906	0.7745
234	1.0391	0.741	1.4133	0.8177	1.2105	0.8075
235	1.0378	0.7366	1.4201	0.8037	1.2154	0.7903
236	1.0052	0.7065	1.4043	0.785	1.1862	0.7727
237	1.0279	0.7213	1.3913	0.7836	1.1934	0.7775
238	1.0084	0.709	1.3796	0.7756	1.1839	0.7764
239	1.0395	0.741	1.4245	0.8259	1.2202	0.8187
240	1.016	0.7188	1.3988	0.7885	1.19	0.7778
241	1.0009	0.7048	1.3917	0.7836	1.1883	0.779
242	1.0031	0.7046	1.3814	0.7739	1.1797	0.7713
243	0.9995	0.6983	1.3797	0.7715	1.1782	0.7677
244	0.9918	0.6978	1.3773	0.772	1.175	0.7655
245	1.0126	0.7139	1.4062	0.7932	1.1988	0.7777
246	1.0395	0.7442	1.4049	0.8182	1.2152	0.8129
247	0.9963	0.6965	1.3843	0.7782	1.1846	0.7724
248	0.9891	0.6953	1.3734	0.7708	1.1694	0.7666
249	0.9979	0.6983	1.3721	0.7696	1.1685	0.7681
250	0.9942	0.6978	1.3919	0.7808	1.1901	0.7733
251	1.0017	0.7017	1.4026	0.784	1.2009	0.7708
252	0.9922	0.6991	1.3747	0.7739	1.1733	0.7657
253	1.0128	0.7081	1.377	0.7765	1.1765	0.7689
254	1.0038	0.703	1.3861	0.7835	1.1865	0.7767
255	1.0036	0.7058	1.3823	0.7765	1.1843	0.771
256	0.9983	0.7012	1.3688	0.7668	1.1736	0.7686
257	1.032	0.7347	1.4062	0.8144	1.2155	0.8147
258	1.005	0.7075	1.3648	0.7758	1.1715	0.7698
259	0.9955	0.6977	1.371	0.7651	1.1909	0.7638
260	0.9937	0.7018	1.368	0.7732	1.1775	0.774
261	1.0026	0.7054	1.3782	0.7777	1.1778	0.7689
262	0.9834	0.6861	1.3571	0.7578	1.1714	0.7596
263	0.979	0.6885	1.3581	0.7628	1.1646	0.7568
264	0.9741	0.6847	1.3658	0.7682	1.1724	0.7652
265	0.9771	0.6881	1.3532	0.7612	1.1583	0.7562
266	0.9906	0.6955	1.3601	0.772	1.1752	0.7731
267	0.9761	0.6844	1.3689	0.7644	1.1712	0.7547
268	0.989	0.7107	1.3667	0.7859	1.1723	0.7831
269	0.9915	0.6953	1.3689	0.775	1.1728	0.7708
270	1.0479	0.7453	1.4105	0.8143	1.2123	0.7969
271	0.9696	0.6781	1.366	0.7592	1.1655	0.7573
272	0.9696	0.6841	1.3696	0.767	1.1692	0.7597
273	0.9613	0.6697	1.3525	0.7514	1.1515	0.7522
274	0.9816	0.6915	1.3651	0.7761	1.1709	0.7704
